_id,ine,equipe,cnes,usf,endereco,especialidade,consultas,tipo,procedimentos,atencao,periodo
11,153605,Santo Amaro II - Equipe I,22225,US 243 PSF SANTO AMARO II,"Rua Buarque de Macedo,65,Santo Amaro, CEP:50110-340","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3958,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7499,Atenção Básica,Janeiro a Dezembro 2023
12,153613,Santo Amaro II - Equipe II,22225,US 243 PSF SANTO AMARO II,"Rua Buarque de Macedo,65,Santo Amaro, CEP:50110-340","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2138,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3576,Atenção Básica,Janeiro a Dezembro 2023
13,154563,Pilar,28665,US 278 PSF NOSSA SRA DO PILAR BAIRRO DO RECIFE,"Rua do Brum,339,Recife CEP:50030-260","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4322,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6248,Atenção Básica,Janeiro a Dezembro 2023
14,154768,São José do Coque I,29130,US 285 PSF SAO JOSE DO COQUE,"AV.Central,S/N,Ilha Joana Bezerra,CEP:50080-705","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",1617,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3248,Atenção Básica,Janeiro a Dezembro 2023
15,154733,São José do Coque II,29130,US 285 PSF SAO JOSE DO COQUE,"AV.Central,S/N,Ilha Joana Bezerra,CEP:50080-705","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2269,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4120,Atenção Básica,Janeiro a Dezembro 2023
16,155713,Cabangá,3862836,US 334 PSF CABANGA,"RU Escritor Souza Barros,273,Cabanga, CEP:50090-410","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",1868,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3991,Atenção Básica,Janeiro a Dezembro 2023
17,152617,Beberibe I,825,US 155 CS PROF MONTEIRO DE MORAIS,"AV.Beberibe,4510,Beberibe, CEP:52130-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3104,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6865,Atenção Básica,Janeiro a Dezembro 2023
18,152609,Beberibe II,825,US 155 CS PROF MONTEIRO DE MORAIS,"AV.Beberibe,4510,Beberibe, CEP:52130-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2063,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5196,Atenção Básica,Janeiro a Dezembro 2023
19,152730,Luiz Wilson I,876,US 138 CS DR LUIZ WILSOM,"Rua Chã de Alegria,S/N,Bomba do Hemetério,CEP:52211-130","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3064,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4087,Atenção Básica,Janeiro a Dezembro 2023
20,152773,Luiz Wilson II,876,US 138 CS DR LUIZ WILSOM,"Rua Chã de Alegria,S/N,Bomba do Hemetério,CEP:52211-130","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2482,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4097,Atenção Básica,Janeiro a Dezembro 2023
21,152765,Luiz Wilson III,876,US 138 CS DR LUIZ WILSOM,"Rua Chã de Alegria,S/N,Bomba do Hemetério,CEP:52211-130","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2356,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3046,Atenção Básica,Janeiro a Dezembro 2023
22,152714,Luiz Wilson IV,876,US 138 CS DR LUIZ WILSOM,"Rua Chã de Alegria,S/N,Bomba do Hemetério,CEP:52211-130","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3134,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3289,Atenção Básica,Janeiro a Dezembro 2023
23,153265,Alto do Ceu I,1503,US 179 PSF ALTO DO CEU,"Rua Capitão Salgueiro,267,Porto da Madeira,CEP: 52130-150","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3366,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6755,Atenção Básica,Janeiro a Dezembro 2023
24,153273,Alto do Ceu II,1503,US 179 PSF ALTO DO CEU,"Rua Capitão Salgueiro,267,Porto da Madeira,CEP: 52130-150","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3481,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6722,Atenção Básica,Janeiro a Dezembro 2023
25,153486,Ilha de Joaneiro I,2135,US 221 PSF ILHA DE JOANEIRO,"Rua Marechal Deodoro,688,Campo Grande, CEP:52031-440","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3529,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5585,Atenção Básica,Janeiro a Dezembro 2023
26,153478,Ilha de Joaneiro II,2135,US 221 PSF ILHA DE JOANEIRO,"Rua Marechal Deodoro,688,Campo Grande, CEP:52031-440","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4414,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5344,Atenção Básica,Janeiro a Dezembro 2023
27,153532,Córrego do Curio I,20648,US 222 PSF CORREGO DO CURIO,"Rua Córrego do Curió,63,Dois Unidos,CEP:52150-160","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3580,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6145,Atenção Básica,Janeiro a Dezembro 2023
28,153648,Chão de Estrelas I,22233,US 226 PSF CHAO DE ESTRELAS,"Rua DR Elias Gomes,65,Campina do Barreto,CEP:52121-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2967,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5278,Atenção Básica,Janeiro a Dezembro 2023
29,153621,Chão de Estrelas II,22233,US 226 PSF CHAO DE ESTRELAS,"Rua DR Elias Gomes,65,Campina do Barreto,CEP:52121-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3850,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4149,Atenção Básica,Janeiro a Dezembro 2023
30,152757,Chão de Estrelas III,22233,US 226 PSF CHAO DE ESTRELAS,"Rua DR Elias Gomes,65,Campina do Barreto,CEP:52121-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3469,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6977,Atenção Básica,Janeiro a Dezembro 2023
31,153664,Francisco Areias I,22268,US 244 PSF PROF ANTONIO FRANCISCO AREIAS,"AV Prof Jose dos Anjos,S/N,Arruda,CEP:52120-400","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4433,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5584,Atenção Básica,Janeiro a Dezembro 2023
32,153672,Francisco Areias II,22268,US 244 PSF PROF ANTONIO FRANCISCO AREIAS,"AV Prof Jose dos Anjos,S/N,Arruda,CEP:52120-400","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3840,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5137,Atenção Básica,Janeiro a Dezembro 2023
33,154245,José Severiano I,26328,US 262 PSF JOSE SEVERIANO DA SILVA,"Av Jeronimo Vilela,794,Campo Grande,CEP:52040-180","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3894,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4934,Atenção Básica,Janeiro a Dezembro 2023
34,154253,José Severiano II,26328,US 262 PSF JOSE SEVERIANO DA SILVA,"Av Jeronimo Vilela,794,Campo Grande,CEP:52040-180","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3490,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4809,Atenção Básica,Janeiro a Dezembro 2023
35,152587,José Severiano III,26328,US 262 PSF JOSE SEVERIANO DA SILVA,"Av Jeronimo Vilela,794,Campo Grande,CEP:52040-180","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2655,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4159,Atenção Básica,Janeiro a Dezembro 2023
36,154466,Bianor Teodosio I,28088,US 273 PSF BIANOR TEODOSIO,"AV.Hidelbrando de Vasconcelos,S/N, Dois Unidos, CEP: 52160-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3288,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5125,Atenção Básica,Janeiro a Dezembro 2023
37,154474,Bianor Teodosio II,28088,US 273 PSF BIANOR TEODOSIO,"AV.Hidelbrando de Vasconcelos,S/N, Dois Unidos, CEP: 52160-000","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2693,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4840,Atenção Básica,Janeiro a Dezembro 2023
38,154490,Tia Regina I,28096,US 274 PSF TIA REGINA,"Rua Córrego do Deodato,315,Agua Fria, CEP:52211-250","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4865,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6369,Atenção Básica,Janeiro a Dezembro 2023
39,154512,Tia Regina II,28096,US 274 PSF TIA REGINA,"Rua Córrego do Deodato,315,Agua Fria, CEP:52211-250","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",5463,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6616,Atenção Básica,Janeiro a Dezembro 2023
40,154504,Tia Regina III,28096,US 274 PSF TIA REGINA,"Rua Córrego do Deodato,315,Agua Fria, CEP:52211-250","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4475,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7127,Atenção Básica,Janeiro a Dezembro 2023
41,154520,Alto do Pascoal I,28649,US 276 PSF ALTO DO PASCOAL,"av Anibal Benevolo,S/N,Linha do Tiro, CEP:52130-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4880,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5244,Atenção Básica,Janeiro a Dezembro 2023
42,154547,Alto do Pascoal II,28649,US 276 PSF ALTO DO PASCOAL,"av Anibal Benevolo,S/N,Linha do Tiro, CEP:52130-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4230,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6790,Atenção Básica,Janeiro a Dezembro 2023
43,154555,Alto do Pascoal III,28649,US 276 PSF ALTO DO PASCOAL,"av Anibal Benevolo,S/N,Linha do Tiro, CEP:52130-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",5542,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",9138,Atenção Básica,Janeiro a Dezembro 2023
44,154539,Alto do Pascoal IV,28649,US 276 PSF ALTO DO PASCOAL,"av Anibal Benevolo,S/N,Linha do Tiro, CEP:52130-220","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4912,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6953,Atenção Básica,Janeiro a Dezembro 2023
45,154717,Irmã Terezinha I,29122,US 286 PSF IRMA TEREZINHA,"Rua da Consolaçâo,09,Chao de Estrela, Peixinhos, CEP:52125-210","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4390,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6905,Atenção Básica,Janeiro a Dezembro 2023
46,154725,Irmã Terezinha II,29122,US 286 PSF IRMA TEREZINHA,"Rua da Consolaçâo,09,Chao de Estrela, Peixinhos, CEP:52125-210","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3654,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6711,Atenção Básica,Janeiro a Dezembro 2023
47,154911,Alto dos Coqueiros I,3006468,US 291 PSF ALTO DOS COQUEIROS CORREGO DA JAQUEIRA,"Rua córrego da Jaqueira,160, Linha do Tiro, Cep:52131-140","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2433,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7314,Atenção Básica,Janeiro a Dezembro 2023
48,154903,Alto dos Coqueiros II,3006468,US 291 PSF ALTO DOS COQUEIROS CORREGO DA JAQUEIRA,"Rua córrego da Jaqueira,160, Linha do Tiro, Cep:52131-141","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2806,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6107,Atenção Básica,Janeiro a Dezembro 2023
49,155225,Byron Sarinho I,3301974,US 302 PSF BYRON SARINHO,"Rua Nazaré, 293, Agua Fria, Cep:52111-320","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3766,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",8037,Atenção Básica,Janeiro a Dezembro 2023
50,155233,Byron Sarinho II,3301974,US 302 PSF BYRON SARINHO,"Rua Nazaré, 293, Agua Fria, Cep:52111-320","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3740,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6638,Atenção Básica,Janeiro a Dezembro 2023
51,1465201,Byron Sarinho III,3301974,US 302 PSF BYRON SARINHO,"Rua Nazaré, 293, Agua Fria, Cep:52111-320","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",1902,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",3674,Atenção Básica,Janeiro a Dezembro 2023
52,155292,Ponto de Parada I,3302032,US 309 PSF PONTO DE PARADA,"Rua Ramiz Galvao,379,Arruda, CEP:52120-020","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4119,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7170,Atenção Básica,Janeiro a Dezembro 2023
53,155306,Ponto de Parada II,3302032,US 309 PSF PONTO DE PARADA,"Rua Ramiz Galvao, 379, Arruda, CEP:52120-020","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3203,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4652,Atenção Básica,Janeiro a Dezembro 2023
54,155446,Clube dos Delegados I,3445275,US 327 PSF CLUBE DOS DELEGADOS,"Rua Joaquim Cavalcanti PEtribu, S/N, Dois Unidos, CEP: 52160-230","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3305,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",7255,Atenção Básica,Janeiro a Dezembro 2023
55,155438,Clube dos Delegados II,3445275,US 327 PSF CLUBE DOS DELEGADOS,"Rua Joaquim Cavalcanti PEtribu, S/N, Dois Unidos, CEP: 52160-230","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3404,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6603,Atenção Básica,Janeiro a Dezembro 2023
56,155608,Alto do Maracanã I,3567826,US 328 PSF ALTO DO MARACANA,"Subida da Medalha Milagrosa, 153, Dois Unidos, CEP: 52150-010","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",7271,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",8096,Atenção Básica,Janeiro a Dezembro 2023
57,155594,Alto do Maracanã II,3567826,US 328 PSF ALTO DO MARACANA,"Subida da Medalha Milagrosa, 153, Dois Unidos, CEP: 52150-010","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2908,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5097,Atenção Básica,Janeiro a Dezembro 2023
58,155837,Alto do Capitão I,5356881,US 339 PSF ALTO DO CAPITAO,"Rua Tupiracaba, S/N, Dois Unidos, CEP: 52150-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3435,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6759,Atenção Básica,Janeiro a Dezembro 2023
59,155829,Alto do Capitão II,5356881,US 339 PSF ALTO DO CAPITAO,"Rua Tupiracaba, S/N, Dois Unidos, CEP: 52150-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3526,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",5065,Atenção Básica,Janeiro a Dezembro 2023
60,1539663,Fernanda Wanderley III,7524501,US 395 USF UPINHA 24H DR FERNANDA WANDERLEY,"AV Uriel de Holanda,S/N,Linha do Tiro,CEP:52131-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",2753,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4903,Atenção Básica,Janeiro a Dezembro 2023
61,1557769,Fernanda Wanderley I,7524501,US 395 USF UPINHA 24H DR FERNANDA WANDERLEY,"AV Uriel de Holanda,S/N,Linha do Tiro,CEP:52131-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3339,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",4569,Atenção Básica,Janeiro a Dezembro 2023
62,1554891,Fernanda Wanderley II,7524501,US 395 USF UPINHA 24H DR FERNANDA WANDERLEY,"AV Uriel de Holanda,S/N,Linha do Tiro,CEP:52131-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",4130,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6852,Atenção Básica,Janeiro a Dezembro 2023
63,2343908,Fernanda Wanderley IV,7524501,US 395 USF UPINHA 24H DR FERNANDA WANDERLEY,"AV Uriel de Holanda,S/N,Linha do Tiro,CEP:52131-155","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",887,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",2016,Atenção Básica,Janeiro a Dezembro 2023
64,1601571,Eduardo Campos I,7946651,US 401 USF UPINHA 24H GOVERNADOR EDUARDO CAMPOS,"Rua Itabira,S/N,Bomba do Hemeterio,CEP:52111-081","Médico(a), Enfermeiro(a) e Técnico(a)de Enfermagem",3736,"Consulta Médica, Consulta Enfermagem, Consulta Odontológica, Distribuição e Administração de Medicamentos, Vacinas, Curativos, Testes Rápidos, Procedimentos Odontológicos",6032,Atenção Básica,Janeiro a Dezembro 2023
